game_id,date,year,home_team,home_abbr,away_team,away_abbr,home_score,away_score,home_win,winning_team,losing_team,home_pitcher,away_pitcher,venue
777583,2025-06-08,2025,Colorado Rockies,115,New York Mets,121,5,13,0,New York Mets,Colorado Rockies,Chase Dollander,Tylor Megill,Coors Field
777588,2025-06-08,2025,Athletics,133,Baltimore Orioles,110,5,1,1,Athletics,Baltimore Orioles,Jacob Lopez,Tomoyuki Sugano,Sutter Health Park
777587,2025-06-08,2025,San Francisco Giants,137,Atlanta Braves,144,4,3,1,San Francisco Giants,Atlanta Braves,Landen Roupp,Spencer Strider,Oracle Park
777589,2025-06-08,2025,Los Angeles Angels,108,Seattle Mariners,136,2,3,0,Seattle Mariners,Los Angeles Angels,Tyler Anderson,George Kirby,Angel Stadium
777593,2025-06-08,2025,New York Yankees,147,Boston Red Sox,111,7,11,0,Boston Red Sox,New York Yankees,Carlos Rodón,Hunter Dobbins,Yankee Stadium
777580,2025-06-09,2025,Cleveland Guardians,114,Cincinnati Reds,113,4,7,0,Cincinnati Reds,Cleveland Guardians,Luis Ortiz,Wade Miley,Progressive Field
777574,2025-06-09,2025,Pittsburgh Pirates,134,Miami Marlins,146,10,3,1,Pittsburgh Pirates,Miami Marlins,Mike Burrows,Eury Pérez,PNC Park
777578,2025-06-09,2025,Philadelphia Phillies,143,Chicago Cubs,112,4,3,1,Philadelphia Phillies,Chicago Cubs,Zack Wheeler,Matthew Boyd,Citizens Bank Park
777584,2025-06-09,2025,Boston Red Sox,111,Tampa Bay Rays,139,8,10,0,Tampa Bay Rays,Boston Red Sox,Brayan Bello,Shane Baz,Fenway Park
777575,2025-06-09,2025,Milwaukee Brewers,158,Atlanta Braves,144,1,7,0,Atlanta Braves,Milwaukee Brewers,Aaron Civale,Chris Sale,American Family Field
777581,2025-06-09,2025,St. Louis Cardinals,138,Toronto Blue Jays,141,4,5,0,Toronto Blue Jays,St. Louis Cardinals,Andre Pallante,José Berríos,Busch Stadium
777576,2025-06-09,2025,Los Angeles Angels,108,Athletics,133,7,4,1,Los Angeles Angels,Athletics,Yusei Kikuchi,Grant Holman,Angel Stadium
777579,2025-06-09,2025,San Diego Padres,135,Los Angeles Dodgers,119,7,8,0,Los Angeles Dodgers,San Diego Padres,Nick Pivetta,Dustin May,Petco Park
777577,2025-06-09,2025,Arizona Diamondbacks,109,Seattle Mariners,136,8,4,1,Arizona Diamondbacks,Seattle Mariners,Merrill Kelly,Emerson Hancock,Chase Field
777573,2025-06-10,2025,Baltimore Orioles,110,Detroit Tigers,116,3,5,0,Detroit Tigers,Baltimore Orioles,Cade Povich,Brant Hurter,Oriole Park at Camden Yards
777569,2025-06-10,2025,Cleveland Guardians,114,Cincinnati Reds,113,0,1,0,Cincinnati Reds,Cleveland Guardians,Slade Cecconi,Andrew Abbott,Progressive Field
777566,2025-06-10,2025,Pittsburgh Pirates,134,Miami Marlins,146,2,3,0,Miami Marlins,Pittsburgh Pirates,Mitch Keller,Sandy Alcantara,PNC Park
777571,2025-06-10,2025,Philadelphia Phillies,143,Chicago Cubs,112,4,8,0,Chicago Cubs,Philadelphia Phillies,Mick Abel,Colin Rea,Citizens Bank Park
777570,2025-06-10,2025,New York Mets,121,Washington Nationals,120,5,4,1,New York Mets,Washington Nationals,Griffin Canning,MacKenzie Gore,Citi Field
777565,2025-06-10,2025,Boston Red Sox,111,Tampa Bay Rays,139,3,1,1,Boston Red Sox,Tampa Bay Rays,Lucas Giolito,Ryan Pepiot,Fenway Park
777557,2025-06-10,2025,Minnesota Twins,142,Texas Rangers,140,4,16,0,Texas Rangers,Minnesota Twins,Simeon Woods Richardson,Tyler Mahle,Target Field
777572,2025-06-10,2025,Kansas City Royals,118,New York Yankees,147,2,10,0,New York Yankees,Kansas City Royals,Noah Cameron,Max Fried,Kauffman Stadium
777568,2025-06-10,2025,Milwaukee Brewers,158,Atlanta Braves,144,4,1,1,Milwaukee Brewers,Atlanta Braves,Quinn Priester,Grant Holmes,American Family Field
777558,2025-06-10,2025,St. Louis Cardinals,138,Toronto Blue Jays,141,9,10,0,Toronto Blue Jays,St. Louis Cardinals,Miles Mikolas,Chris Bassitt,Busch Stadium
777567,2025-06-10,2025,Houston Astros,117,Chicago White Sox,145,2,4,0,Chicago White Sox,Houston Astros,Lance McCullers Jr.,Shane Smith,Daikin Park
